//**************Start***************
CenterX: -2|| CenterY: 9|| Mode: 45
17/6/2564 || 18:0:27|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:28|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:29|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:30|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:31|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:32|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:33|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:35|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:36|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:37|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:38|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:39|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:40|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:41|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:43|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:44|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:45|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:46|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:47|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:48|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:49|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:51|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:52|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:53|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:54|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:55|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:56|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:57|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:0:59|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:0|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:1|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:2|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:3|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:4|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:5|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:7|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:8|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:9|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:10|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:11|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:12|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:13|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:15|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:16|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:17|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:18|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:19|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:20|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:21|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:23|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:24|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:25|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:26|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:27|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:28|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:29|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:31|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:32|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:33|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:34|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:35|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:36|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:37|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:39|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:40|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:41|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:42|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:43|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:44|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:45|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:46|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:48|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:49|| AngleX: 0, AngleY: 8 
17/6/2564 || 18:1:50|| AngleX: 0, AngleY: 8 
